run_id,date,portfolio_return,realized_return,cumulative_return,equity,cash_flow_krw,contributed_capital_krw,account_value_krw,net_profit_krw,candidate_count,execution_count,cash_weight,cash_value_krw
fbb983892c32,2020-11-02,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-03,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-04,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-05,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-06,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-09,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-10,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-11,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-12,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-13,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-16,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-17,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-18,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-19,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-20,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-23,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-24,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-25,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-26,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-27,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-11-30,0.0,0.0,0.0,1.0,0.0,10000000.0,10000000.0,0.0,1,0,1.0,10000000.0
fbb983892c32,2020-12-01,0.0,0.0,0.0,1.0,1000000.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-02,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-03,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-04,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-07,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-08,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-09,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-10,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-11,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-14,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-15,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-16,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-17,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-18,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-21,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-22,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-23,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-24,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-25,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-28,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-29,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-30,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2020-12-31,0.0,0.0,0.0,1.0,0.0,11000000.0,11000000.0,0.0,1,0,1.0,11000000.0
fbb983892c32,2021-01-04,0.0,0.0,0.0,1.0,1000000.0,12000000.0,12000000.0,0.0,1,0,1.0,12000000.0
fbb983892c32,2021-01-05,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,1,0,1.0,12000000.0
fbb983892c32,2021-01-06,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,1,0,1.0,12000000.0
fbb983892c32,2021-01-07,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,1,0,1.0,12000000.0
fbb983892c32,2021-01-08,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,1,0,1.0,12000000.0
fbb983892c32,2021-01-11,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,1,0,1.0,12000000.0
fbb983892c32,2021-01-12,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,1,0,1.0,12000000.0
fbb983892c32,2021-01-13,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,1,0,1.0,12000000.0
fbb983892c32,2021-01-14,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,1,0,1.0,12000000.0
fbb983892c32,2021-01-15,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,1,0,1.0,12000000.0
fbb983892c32,2021-01-18,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,5,0,1.0,12000000.0
fbb983892c32,2021-01-19,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,5,0,1.0,12000000.0
fbb983892c32,2021-01-20,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,5,0,1.0,12000000.0
fbb983892c32,2021-01-21,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,5,0,1.0,12000000.0
fbb983892c32,2021-01-22,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,5,0,1.0,12000000.0
fbb983892c32,2021-01-25,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,5,0,1.0,12000000.0
fbb983892c32,2021-01-26,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,5,0,1.0,12000000.0
fbb983892c32,2021-01-27,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,5,0,1.0,12000000.0
fbb983892c32,2021-01-28,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,5,0,1.0,12000000.0
